,move_st_hr,move_arv_hr,start_place_cd,arv_place_cd,sex_nm,age_grp,popl_cnt
65,2019-09-30 13:00:00,2019-10-01 00:00:00,111365,340140,F,20,2.19
66,2019-09-30 13:00:00,2019-10-01 02:00:00,230027,111525,F,20,2.01
67,2019-09-30 13:00:00,2019-10-01 06:00:00,320650,111649,M,50,3.3
68,2019-09-30 13:00:00,2019-10-01 07:00:00,330470,110894,M,30,2.72
69,2019-09-30 13:00:00,2019-10-01 08:00:00,320107,111510,M,20,2.26
70,2019-09-30 13:00:00,2019-10-01 08:00:00,380861,111602,M,50,3.27
71,2019-09-30 13:00:00,2019-10-01 11:00:00,111297,313120,F,60,3.75
72,2019-09-30 13:00:00,2019-10-01 11:00:00,111621,340116,F,20,2.2
73,2019-09-30 13:00:00,2019-10-01 12:00:00,111571,330831,M,30,2.72
74,2019-09-30 13:00:00,2019-10-01 12:00:00,370511,111563,F,20,2.05
75,2019-09-30 13:00:00,2019-10-01 00:00:00,340452,111536,F,30,3.01
76,2019-09-30 13:00:00,2019-10-01 01:00:00,250321,110613,M,30,2.73
77,2019-09-30 13:00:00,2019-10-01 01:00:00,111460,360901,F,10,4.09
78,2019-09-30 13:00:00,2019-10-01 01:00:00,312439,110077,M,30,2.64
79,2019-09-30 13:00:00,2019-10-01 02:00:00,110087,311525,M,50,3.3
80,2019-09-30 13:00:00,2019-10-01 06:00:00,312076,111320,M,50,3.28
81,2019-09-30 13:00:00,2019-10-01 08:00:00,111050,380046,M,40,3.0
82,2019-09-30 13:00:00,2019-10-01 08:00:00,220220,111141,M,30,2.72
83,2019-09-30 13:00:00,2019-10-01 09:00:00,330710,110508,M,50,3.3
84,2019-09-30 13:00:00,2019-10-01 09:00:00,340756,110284,M,20,2.71
85,2019-09-30 13:00:00,2019-10-01 09:00:00,320498,111457,F,60,3.8
86,2019-09-30 13:00:00,2019-10-01 11:00:00,371097,111359,M,60,3.54
87,2019-09-30 13:00:00,2019-10-01 13:00:00,111621,371195,M,40,3.17
88,2019-09-30 14:00:00,2019-10-01 00:00:00,111387,312556,M,40,3.01
89,2019-09-30 14:00:00,2019-10-01 00:00:00,230027,110982,M,30,2.37
90,2019-09-30 14:00:00,2019-10-01 01:00:00,111601,240471,M,50,3.29
91,2019-09-30 14:00:00,2019-10-01 07:00:00,311829,111214,M,50,3.3
92,2019-09-30 14:00:00,2019-10-01 09:00:00,111595,320586,F,30,3.03
93,2019-09-30 14:00:00,2019-10-01 09:00:00,330769,110026,F,50,3.11
94,2019-09-30 14:00:00,2019-10-01 12:00:00,380364,110047,M,50,3.32
95,2019-09-30 14:00:00,2019-10-01 12:00:00,321057,110181,F,50,3.22
96,2019-09-30 14:00:00,2019-10-01 12:00:00,350543,111804,F,60,3.8
97,2019-09-30 14:00:00,2019-10-01 12:00:00,340601,110042,M,50,3.3
98,2019-09-30 14:00:00,2019-10-01 13:00:00,111265,341330,M,20,2.71
99,2019-09-30 14:00:00,2019-10-01 13:00:00,370071,111577,M,30,2.38
100,2019-09-30 14:00:00,2019-10-01 00:00:00,110044,313023,M,60,4.0
101,2019-09-30 14:00:00,2019-10-01 00:00:00,110643,110479,M,40,3.18
102,2019-09-30 14:00:00,2019-10-01 00:00:00,111607,111479,M,50,3.32
103,2019-09-30 14:00:00,2019-10-01 00:00:00,111631,111451,F,50,3.16
104,2019-09-30 14:00:00,2019-10-01 00:00:00,111712,111675,F,80,19.58
105,2019-09-30 14:00:00,2019-10-01 00:00:00,110516,110181,M,50,3.3
106,2019-09-30 14:00:00,2019-10-01 00:00:00,111191,110186,F,30,2.41
107,2019-09-30 14:00:00,2019-10-01 05:00:00,111471,330965,M,70,4.64
108,2019-09-30 14:00:00,2019-10-01 07:00:00,111595,340559,M,60,3.56
109,2019-09-30 14:00:00,2019-10-01 07:00:00,370372,111764,M,40,3.19
110,2019-09-30 14:00:00,2019-10-01 09:00:00,330671,111723,M,30,2.7
111,2019-09-30 14:00:00,2019-10-01 09:00:00,110859,210734,M,30,2.71
112,2019-09-30 14:00:00,2019-10-01 10:00:00,341025,111514,M,50,3.28
113,2019-09-30 14:00:00,2019-10-01 11:00:00,111764,341376,M,40,3.18
114,2019-09-30 14:00:00,2019-10-01 14:00:00,111653,320495,F,60,3.83
115,2019-09-30 14:00:00,2019-10-01 00:00:00,110070,111502,F,60,3.83
116,2019-09-30 14:00:00,2019-10-01 00:00:00,111352,111394,M,20,2.71
117,2019-09-30 14:00:00,2019-10-01 00:00:00,111361,111361,F,60,4.65
118,2019-09-30 14:00:00,2019-10-01 00:00:00,111531,111068,F,30,2.41
119,2019-09-30 14:00:00,2019-10-01 00:00:00,111764,111796,M,40,2.99
120,2019-09-30 14:00:00,2019-10-01 00:00:00,110719,110717,F,0,28.24
121,2019-09-30 14:00:00,2019-10-01 00:00:00,110881,110876,F,30,3.04
122,2019-09-30 14:00:00,2019-10-01 00:00:00,111191,110902,M,40,3.0
123,2019-09-30 14:00:00,2019-10-01 00:00:00,111364,111361,M,20,2.27
124,2019-09-30 14:00:00,2019-10-01 00:00:00,111398,210226,F,20,2.03
125,2019-09-30 14:00:00,2019-10-01 00:00:00,110374,230402,M,20,2.28
126,2019-09-30 14:00:00,2019-10-01 00:00:00,110465,110069,F,20,2.02
127,2019-09-30 14:00:00,2019-10-01 00:00:00,111316,240058,M,40,3.01
128,2019-09-30 14:00:00,2019-10-01 00:00:00,312659,110363,M,50,3.3
129,2019-09-30 14:00:00,2019-10-01 02:00:00,110264,370303,M,10,4.47
130,2019-09-30 14:00:00,2019-10-01 03:00:00,110915,370803,F,70,5.68
131,2019-09-30 14:00:00,2019-10-01 05:00:00,111616,330030,M,60,3.54
